zip_code,HUD Area Code,HUD Metro Fair Market Rent Area Name,city,state,0BR,0BR_90,0BR_110,1BR,1BR_90,1BR_110,2BR,2BR_90,2BR_110,3BR,3BR_90,3BR_110,4BR,4BR_90,4BR_110
08026,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1960,$1764,$2156,$2180,$1962,$2398,$2610,$2349,$2871,$3160,$2844,$3476,$3640,$3276,$4004
08027,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1250,$1125,$1375,$1400,$1260,$1540,$1670,$1503,$1837,$2020,$1818,$2222,$2330,$2097,$2563
08028,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1550,$1395,$1705,$1730,$1557,$1903,$2070,$1863,$2277,$2500,$2250,$2750,$2890,$2601,$3179
08029,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1320,$1188,$1452,$1470,$1323,$1617,$1760,$1584,$1936,$2130,$1917,$2343,$2450,$2205,$2695
08030,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1370,$1233,$1507,$1520,$1368,$1672,$1820,$1638,$2002,$2200,$1980,$2420,$2540,$2286,$2794
08031,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1070,$963,$1177,$1190,$1071,$1309,$1430,$1287,$1573,$1730,$1557,$1903,$1990,$1791,$2189
08032,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1410,$1269,$1551,$1570,$1413,$1727,$1880,$1692,$2068,$2270,$2043,$2497,$2620,$2358,$2882
08033,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1270,$1143,$1397,$1410,$1269,$1551,$1690,$1521,$1859,$2040,$1836,$2244,$2360,$2124,$2596
08034,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1550,$1395,$1705,$1720,$1548,$1892,$2060,$1854,$2266,$2490,$2241,$2739,$2870,$2583,$3157
08035,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1270,$1143,$1397,$1410,$1269,$1551,$1690,$1521,$1859,$2040,$1836,$2244,$2360,$2124,$2596
08036,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1140,$1026,$1254,$1270,$1143,$1397,$1520,$1368,$1672,$1840,$1656,$2024,$2120,$1908,$2332
08037,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1210,$1089,$1331,$1370,$1233,$1507,$1700,$1530,$1870,$2320,$2088,$2552,$2570,$2313,$2827
08038,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1100,$990,$1210,$1230,$1107,$1353,$1470,$1323,$1617,$1790,$1611,$1969,$2050,$1845,$2255
08039,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1480,$1332,$1628,$1650,$1485,$1815,$1980,$1782,$2178,$2390,$2151,$2629,$2760,$2484,$3036
08041,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1350,$1215,$1485,$1500,$1350,$1650,$1800,$1620,$1980,$2180,$1962,$2398,$2500,$2250,$2750
08042,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1610,$1449,$1771,$1790,$1611,$1969,$2140,$1926,$2354,$2590,$2331,$2849,$2980,$2682,$3278
08043,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1620,$1458,$1782,$1800,$1620,$1980,$2160,$1944,$2376,$2610,$2349,$2871,$3010,$2709,$3311
08045,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1080,$972,$1188,$1200,$1080,$1320,$1440,$1296,$1584,$1740,$1566,$1914,$2010,$1809,$2211
08046,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,$1780,$1602,$1958,$1980,$1782,$2178,$2370,$2133,$2607,$2870,$2583,$3157,$3300,$2970,$3630
