zip_code,HUD Area Code,HUD Metro Fair Market Rent Area Name,city,state,keep,0BR,0BR_90,0BR_110,1BR,1BR_90,1BR_110,2BR,2BR_90,2BR_110,3BR,3BR_90,3BR_110,4BR,4BR_90,4BR_110
20122,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,940 ","$1,746 ","$2,134 ","$1,970 ","$1,773 ","$2,167 ","$2,240 ","$2,016 ","$2,464 ","$2,790 ","$2,511 ","$3,069 ","$3,300 ","$2,970 ","$3,630 "
20124,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,090 ","$1,881 ","$2,299 ","$2,120 ","$1,908 ","$2,332 ","$2,410 ","$2,169 ","$2,651 ","$3,000 ","$2,700 ","$3,300 ","$3,550 ","$3,195 ","$3,905 "
20129,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,940 ","$1,746 ","$2,134 ","$1,970 ","$1,773 ","$2,167 ","$2,240 ","$2,016 ","$2,464 ","$2,790 ","$2,511 ","$3,069 ","$3,300 ","$2,970 ","$3,630 "
20130,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,890 ","$1,701 ","$2,079 ","$1,920 ","$1,728 ","$2,112 ","$2,180 ","$1,962 ","$2,398 ","$2,710 ","$2,439 ","$2,981 ","$3,210 ","$2,889 ","$3,531 "
20132,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,600 ","$1,440 ","$1,760 ","$1,630 ","$1,467 ","$1,793 ","$1,850 ","$1,665 ","$2,035 ","$2,300 ","$2,070 ","$2,530 ","$2,730 ","$2,457 ","$3,003 "
20135,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,310 ","$1,179 ","$1,441 ","$1,330 ","$1,197 ","$1,463 ","$1,520 ","$1,368 ","$1,672 ","$1,900 ","$1,710 ","$2,090 ","$2,260 ","$2,034 ","$2,486 "
20136,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,350 ","$2,115 ","$2,585 ","$2,390 ","$2,151 ","$2,629 ","$2,710 ","$2,439 ","$2,981 ","$3,370 ","$3,033 ","$3,707 ","$4,000 ","$3,600 ","$4,400 "
20137,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,830 ","$1,647 ","$2,013 ","$1,860 ","$1,674 ","$2,046 ","$2,110 ","$1,899 ","$2,321 ","$2,630 ","$2,367 ","$2,893 ","$3,110 ","$2,799 ","$3,421 "
20138,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,380 ","$1,242 ","$1,518 ","$1,400 ","$1,260 ","$1,540 ","$1,590 ","$1,431 ","$1,749 ","$1,980 ","$1,782 ","$2,178 ","$2,340 ","$2,106 ","$2,574 "
20139,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,390 ","$1,251 ","$1,529 ","$1,420 ","$1,278 ","$1,562 ","$1,620 ","$1,458 ","$1,782 ","$2,010 ","$1,809 ","$2,211 ","$2,410 ","$2,169 ","$2,651 "
20141,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$1,340 ","$1,206 ","$1,474 ","$1,370 ","$1,233 ","$1,507 ","$1,550 ","$1,395 ","$1,705 ","$1,960 ","$1,764 ","$2,156 ","$2,350 ","$2,115 ","$2,585 "
20143,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Washington-Arlington-Alexandria,DC-VA-MD,keep,"$2,280 ","$2,052 ","$2,508 ","$2,310 ","$2,079 ","$2,541 ","$2,630 ","$2,367 ","$2,893 ","$3,270 ","$2,943 ","$3,597 ","$3,880 ","$3,492 ","$4,268 "
